course_id,course_name,academy,overview_specific,why_now_specific,audience_specific,prerequisites_specific,outcomes_specific,modules_specific,lessons_specific,tools_specific,hands_on_specific,industry_workflow_specific,business_use_cases_specific,assignments_specific,projects_specific,capstone_specific,ai_integration_specific,career_specific,freelance_specific,faq_specific,next_path_specific,generic_content_detected,content_status
ai-productivity,"AI Productivity Professional","AI Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
ai-research-tools,"AI Research Tools","AI Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
ai-video-pro,"AI Video Editing Professional","Video & Motion Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
ai-web-dev-pro,"AI Web Development Professional","Programming Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
archviz-mastery,"Architectural Visualisation Master","3D Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
biz-productivity,"Business Productivity Mastery","Office Productivity Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
blender-cert,"Blender","3D Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
brand-identity-design,"Brand Identity Design","Design Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
business-communication,"Business Communication","Communication Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,NO,PASS
business-english,"Business English & Personality Development","Communication Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
canva-pro,"Canva Professional","Design Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
career-launch,"Career Launch Program","Career & Freelancing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,PASS,NO,PASS
chatgpt-mastery,"ChatGPT Mastery","AI Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
cinema-4d-cert,"Cinema 4D","3D Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
claude-productivity,"Claude for Productivity","AI Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
clickup-cert,"ClickUp","Office Productivity Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
client-communication,"Client Communication","Career & Freelancing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
content-creator-pro,"Content Creator Professional","Creator Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
content-marketing,"Content Marketing","Digital Marketing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
creative-design,"Creative Design Master","Design Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
davinci-resolve,"DaVinci Resolve Mastery","Video & Motion Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,NO,PASS
digital-marketing-pro,"Digital Marketing Professional","Digital Marketing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
dm-mastery,"AI Digital Marketing Master","Digital Marketing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
dm-professional,"AI Digital Marketing Professional","Digital Marketing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
ecommerce-mastery,"E-Commerce Website Mastery","No-Code Web Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
elementor-cert,"Elementor Pro Design Mastery","No-Code Web Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
email-marketing,"Email Marketing","Digital Marketing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
figma-ui-design,"Figma UI Design","Design Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
fiverr-success,"Fiverr Success","Career & Freelancing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
framer-cert,"Framer Interactive Design","No-Code Web Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
freelancing-mastery,"Freelancing Mastery","Career & Freelancing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
fullstack-foundation,"Full Stack Programming Foundation","Programming Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
gemini-mastery,"Gemini Mastery","AI Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
git-github,"Git & GitHub","Programming Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
google-ads,"Google Ads","Digital Marketing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
google-analytics-ga4,"Google Analytics (GA4)","Digital Marketing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
google-search-console,"Google Search Console","Digital Marketing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
google-workspace,"Google Workspace","Office Productivity Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
graphic-design-pro,"Graphic Design Professional","Design Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
html-css,"HTML & CSS","Programming Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
interview-preparation,"Interview Preparation","Career & Freelancing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
javascript-cert,"JavaScript","Programming Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
kids-mastery,"Future Tech Kids Mastery","Kids Tech Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
linkedin-optimisation,"LinkedIn Optimisation","Career & Freelancing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
local-seo,"Local SEO","Digital Marketing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
logo-design,"Logo Design","Design Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
meta-ads,"Meta Ads (Facebook & Instagram)","Digital Marketing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
microsoft-copilot,"Microsoft Copilot","Office Productivity Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
microsoft-excel,"Microsoft Excel","Office Productivity Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
microsoft-powerpoint,"Microsoft PowerPoint","Office Productivity Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,NO,PASS
microsoft-word,"Microsoft Word","Office Productivity Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,NO,PASS
motion-graphics-essentials,"Motion Graphics Essentials","Video & Motion Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,NO,PASS
motion-mastery,"Motion Graphics Master","Video & Motion Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
nocode-web-pro,"No-Code Website Professional","No-Code Web Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
node-js,"Node.js","Programming Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
notion-cert,"Notion","Office Productivity Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
office-pro,"Office Productivity Professional","Office Productivity Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
packaging-design,"Packaging Design","Design Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
perf-marketing-pro,"Performance Marketing Professional","Digital Marketing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
personal-branding,"Personal Branding","Creator Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
podcast-production,"Podcast Production","Creator Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
presentation-skills,"Presentation Skills","Communication Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
prompt-engineering,"Prompt Engineering","AI Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
proposal-writing,"Proposal Writing","Career & Freelancing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
public-speaking,"Public Speaking","Communication Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
python-developer,"Python Developer Professional","Programming Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
python-for-kids,"Python for Kids","Kids Tech Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
react-cert,"React","Programming Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
reels-editing,"Reels & Short-Form Editing","Video & Motion Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,NO,PASS
rest-apis,"REST APIs","Programming Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
resume-building,"Resume Building","Career & Freelancing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
robotics-basics,"Robotics Basics","Kids Tech Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
scratch-programming,"Scratch Programming","Kids Tech Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
seo-geo,"SEO & GEO","Digital Marketing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
shopify-cert,"Shopify Store Building","No-Code Web Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
short-video-strategy,"Short Video Strategy","Creator Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
social-media-marketing,"Social Media Marketing","Digital Marketing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
soft-skills,"Soft Skills","Communication Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PASS,NO,PASS
spoken-english-cert,"Spoken English","Communication Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PARTIAL,PARTIAL,PASS,NO,PASS
spoken-english-pro,"Professional Spoken English","Communication Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
sql-basics,"SQL Basics","Programming Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
tally-gst,"Tally with GST","Office Productivity Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
thumbnail-design,"Thumbnail Design","Creator Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
twinmotion-cert,"Twinmotion","3D Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
uiux-design-pro,"UI/UX Design Professional","Design Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
unreal-engine-basics,"Unreal Engine Basics","3D Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
upwork-success,"Upwork Success","Career & Freelancing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
v-ray-cert,"V-Ray","3D Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
video-pro,"Professional Video Editing","Video & Motion Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
web-design-for-kids,"Web Design for Kids","Kids Tech Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
webflow-cert,"Webflow Professional","No-Code Web Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
woocommerce-cert,"WooCommerce Mastery","No-Code Web Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
wordpress-cert,"WordPress Site Development","No-Code Web Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
young-coders,"Young Coders Program","Kids Tech Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
youtube-marketing,"YouTube Marketing","Digital Marketing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
youtube-mastery,"YouTube Growth Mastery","Creator Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
youtube-seo,"YouTube SEO","Creator Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NO,PASS
