course_id,course_name,academy,template_correct,overview_clear,prerequisites_clear,outcomes_clear,curriculum_complete,hands_on_clear,tools_consistent,industry_workflow,business_use_cases,projects_clear,capstone_correct,career_clear,faq_complete,next_path_valid,seo_valid,schema_valid,mobile_valid,accessibility_valid,performance_valid,qa_status,issues_fixed,remaining_issues
"rest-apis","REST APIs","Programming Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"ecommerce-mastery","E-Commerce Website Mastery","No-Code Web Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"nocode-web-pro","No-Code Website Professional","No-Code Web Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"wordpress-cert","WordPress","No-Code Web Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"woocommerce-cert","WooCommerce","No-Code Web Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"shopify-cert","Shopify","No-Code Web Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"elementor-cert","Elementor","No-Code Web Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"webflow-cert","Webflow","No-Code Web Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"framer-cert","Framer","No-Code Web Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"motion-mastery","Motion Graphics Master","Video & Motion Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"video-pro","Professional Video Editing","Video & Motion Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"ai-video-pro","AI Video Editing Professional","Video & Motion Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"adobe-premiere-pro","Adobe Premiere Pro","Video & Motion Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"after-effects","After Effects","Video & Motion Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"davinci-resolve","DaVinci Resolve","Video & Motion Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"reels-editing","Reels Editing","Video & Motion Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"motion-graphics-essentials","Motion Graphics Essentials","Video & Motion Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"archviz-mastery","Architectural Visualisation Master","3D Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"3d-viz-pro","3D Visualisation Professional","3D Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"blender-cert","Blender","3D Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"3ds-max-cert","3ds Max","3D Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"v-ray-cert","V-Ray","3D Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"twinmotion-cert","Twinmotion","3D Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"cinema-4d-cert","Cinema 4D","3D Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"unreal-engine-basics","Unreal Engine Basics","3D Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"freelancing-mastery","Freelancing Mastery","Career & Freelancing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"career-launch","Career Launch Program","Career & Freelancing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"resume-building","Resume Building","Career & Freelancing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"linkedin-optimisation","LinkedIn Optimisation","Career & Freelancing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"interview-preparation","Interview Preparation","Career & Freelancing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"client-communication","Client Communication","Career & Freelancing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"proposal-writing","Proposal Writing","Career & Freelancing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"agency-building","Agency Building","Career & Freelancing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"fiverr-success","Fiverr Success","Career & Freelancing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"upwork-success","Upwork Success","Career & Freelancing Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"business-english","Business English & Personality Development","Communication Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"spoken-english-pro","Professional Spoken English","Communication Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"spoken-english-cert","Spoken English","Communication Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"business-communication","Business Communication","Communication Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"presentation-skills","Presentation Skills","Communication Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"public-speaking","Public Speaking","Communication Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"soft-skills","Soft Skills","Communication Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
"kids-mastery","Future Tech Kids Mastery","Kids Tech Academy",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Dynamic enroll checklist tailored; hero project count aligned with portfolio; Schema.org @graph injected; mobile overflow protection active","None"
