course_id,course_name,academy,course_type,level,duration,module_count,lesson_count,tool_count,assignment_count,project_count,capstone,ai_integration,industry_workflow,business_use_cases,career_paths,freelance_path,content_depth,future_review_status
"google-analytics-ga4","Google Analytics (GA4)","Digital Marketing Academy","MICRO","BEGINNER+","1 Month",3,9,4,3,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","Marketing Analytics Specialist ->  Data Analyst","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","FAST-CHANGING"
"google-search-console","Google Search Console","Digital Marketing Academy","MODULE","BEGINNER","1-2 Weeks",2,6,4,2,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","SEO Assistant -> Specialist Lead","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","FAST-CHANGING"
"local-seo","Local SEO","Digital Marketing Academy","MODULE","BEGINNER","2-3 Weeks",2,6,4,2,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","Local SEO Consultant -> Specialist Lead","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","FAST-CHANGING"
"youtube-marketing","YouTube Marketing","Digital Marketing Academy","MERGE","BEGINNER","1 Month",1,1,4,1,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","YouTube Channel Manager -> Specialist Lead","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","FAST-CHANGING"
"ai-mastery","AI Mastery Program","AI Academy","MASTER","INTERMEDIATE","6 Months",6,24,13,6,3,"Mandatory Enterprise Capstone","AI-CRITICAL","10 Stages","2 Core Sectors","AI Solutions Engineer ->  GenAI Architect","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Deep Multi-Track Master","FAST-CHANGING"
"ai-productivity","AI Productivity Professional","AI Academy","PROFESSIONAL","BEGINNER","2-3 Months",4,16,7,4,2,"Recommended Domain Capstone","AI-CRITICAL","10 Stages","2 Core Sectors","AI-Augmented Professional ->  Knowledge Worker","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Complete Professional","FAST-CHANGING"
"ai-for-business-pro","AI for Business Professional","AI Academy","SPECIALIZATION","BEGINNER+","3 Months",4,12,7,4,2,"Practical Production Artifact","AI-CRITICAL","10 Stages","2 Core Sectors","AI Business Analyst ->  Digital Transformation Consultant","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Advanced Specialized","FAST-CHANGING"
"prompt-engineering","Prompt Engineering","AI Academy","REPOSITION","BEGINNER","1 Month",3,9,7,3,2,"Practical Production Artifact","AI-CRITICAL","10 Stages","2 Core Sectors","AI Prompt Specialist ->  Content Technologist","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","FAST-CHANGING"
"ai-automation-n8n","AI Automation with n8n","AI Academy","SPECIALIZATION","BEGINNER+","2 Months",4,12,7,4,2,"Practical Production Artifact","AI-CRITICAL","10 Stages","2 Core Sectors","AI Automation Specialist ->  n8n Workflow Consultant","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Advanced Specialized","FAST-CHANGING"
"ai-agents-fundamentals","AI Agents Fundamentals","AI Academy","SPECIALIZATION","INTERMEDIATE","2 Months",4,12,7,4,2,"Practical Production Artifact","AI-CRITICAL","10 Stages","2 Core Sectors","AI Agent Engineer ->  Autonomous Systems Developer","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Advanced Specialized","FAST-CHANGING"
"chatgpt-mastery","ChatGPT Mastery","AI Academy","REPOSITION","BEGINNER","1 Month",3,9,7,3,2,"Practical Production Artifact","AI-CRITICAL","10 Stages","2 Core Sectors","Digital Assistant Operator -> Specialist Lead","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","FAST-CHANGING"
"gemini-mastery","Gemini Mastery","AI Academy","MERGE","BEGINNER","2 Weeks",1,1,7,1,2,"Practical Production Artifact","AI-CRITICAL","10 Stages","2 Core Sectors","AI User -> Specialist Lead","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","FAST-CHANGING"
"claude-productivity","Claude for Productivity","AI Academy","MERGE","BEGINNER","2 Weeks",1,1,7,1,2,"Practical Production Artifact","AI-CRITICAL","10 Stages","2 Core Sectors","AI User -> Specialist Lead","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","FAST-CHANGING"
"ai-research-tools","AI Research Tools","AI Academy","MODULE","BEGINNER","1-2 Weeks",2,6,7,2,2,"Practical Production Artifact","AI-CRITICAL","10 Stages","2 Core Sectors","Academic / Market Researcher -> Specialist Lead","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","FAST-CHANGING"
"creative-design","Creative Design Master","Design Academy","MASTER","BEGINNER+","6 Months",6,24,10,6,3,"Mandatory Enterprise Capstone","AI-TRANSFORMING","10 Stages","2 Core Sectors","Visual Designer ->  Art Director","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Deep Multi-Track Master","EVOLVING"
"graphic-design-pro","Graphic Design Professional","Design Academy","PROFESSIONAL","BEGINNER","3 Months",4,16,4,4,2,"Recommended Domain Capstone","AI-AUGMENTED","10 Stages","2 Core Sectors","Graphic Designer ->  Brand Designer","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Complete Professional","EVOLVING"
"uiux-design-pro","UI/UX Design Professional","Design Academy","SPECIALIZATION","BEGINNER+","3 Months",4,12,4,4,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","UI/UX Designer ->  Product Designer","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Advanced Specialized","EVOLVING"
"adobe-photoshop","Adobe Photoshop","Design Academy","MICRO","BEGINNER","1 Month",3,9,4,3,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","Photo Retoucher ->  Digital Artist","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","EVOLVING"
"adobe-illustrator","Adobe Illustrator","Design Academy","MICRO","BEGINNER","1 Month",3,9,4,3,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","Vector Illustrator ->  Logo Artist","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","EVOLVING"
"canva-pro","Canva Professional","Design Academy","REPOSITION","BEGINNER","2-3 Weeks",3,9,4,3,2,"Practical Production Artifact","HIGH COMMODITIZATION RISK","10 Stages","2 Core Sectors","Social Media Designer ->  Marketing Assistant","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","EVOLVING"
"figma-ui-design","Figma UI Design","Design Academy","MICRO","BEGINNER","2 Months",3,9,4,3,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","UI Designer ->  Figma Specialist","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","EVOLVING"
"brand-identity-design","Brand Identity Design","Design Academy","SPECIALIZATION","INTERMEDIATE","1-2 Months",4,12,4,4,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","Brand Identity Designer ->  Brand Strategist","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Advanced Specialized","EVOLVING"
"packaging-design","Packaging Design","Design Academy","SPECIALIZATION","INTERMEDIATE","1 Month",4,12,4,4,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","Packaging Designer ->  Print Production Specialist","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Advanced Specialized","EVOLVING"
"logo-design","Logo Design","Design Academy","MODULE","BEGINNER+","2-3 Weeks",2,6,4,2,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","Logo Designer -> Specialist Lead","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","EVOLVING"
"fullstack-foundation","Full Stack Programming Foundation","Programming Academy","MASTER","BEGINNER+","6 Months",6,24,12,6,3,"Mandatory Enterprise Capstone","AI-TRANSFORMING","10 Stages","2 Core Sectors","Full Stack Software Engineer ->  Web App Developer","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Deep Multi-Track Master","EVOLVING"
"python-developer","Python Developer Professional","Programming Academy","PROFESSIONAL","BEGINNER","3 Months",4,16,5,4,2,"Recommended Domain Capstone","AI-AUGMENTED","10 Stages","2 Core Sectors","Python Developer ->  Backend Associate","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Complete Professional","EVOLVING"
"ai-web-dev-pro","AI Web Development Professional","Programming Academy","SPECIALIZATION","INTERMEDIATE","2-3 Months",4,12,5,4,2,"Practical Production Artifact","AI-CRITICAL","10 Stages","2 Core Sectors","AI Web Developer ->  Full Stack AI Specialist","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Advanced Specialized","EVOLVING"
"html-css","HTML & CSS","Programming Academy","MODULE","BEGINNER","2-3 Weeks",2,6,5,2,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","Junior Web Assistant -> Specialist Lead","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","EVOLVING"
"javascript-cert","JavaScript","Programming Academy","MICRO","BEGINNER","1 Month",3,9,5,3,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","Junior JavaScript Developer -> Specialist Lead","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","EVOLVING"
"react-cert","React","Programming Academy","MICRO","INTERMEDIATE","1-2 Months",3,9,5,3,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","React Developer ->  Frontend Engineer","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","EVOLVING"
"node-js","Node.js","Programming Academy","MICRO","INTERMEDIATE","1-2 Months",3,9,5,3,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","Node.js Backend Developer -> Specialist Lead","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","EVOLVING"
"sql-basics","SQL Basics","Programming Academy","MICRO","BEGINNER","3-4 Weeks",3,9,5,3,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","Database Administrator Associate ->  SQL Query Writer","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","EVOLVING"
"git-github","Git & GitHub","Programming Academy","MODULE","BEGINNER","1-2 Weeks",2,6,5,2,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","Version Control Operator -> Specialist Lead","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","EVOLVING"
"rest-apis","REST APIs","Programming Academy","MODULE","BEGINNER+","1-2 Weeks",2,6,5,2,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","API Integrator -> Specialist Lead","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","EVOLVING"
"ecommerce-mastery","E-Commerce Website Mastery","No-Code Web Academy","MASTER","BEGINNER","4-6 Months",6,24,9,6,3,"Mandatory Enterprise Capstone","AI-AUGMENTED","10 Stages","2 Core Sectors","Shopify Store Builder ->  E-Commerce Consultant","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Deep Multi-Track Master","EVOLVING"
"nocode-web-pro","No-Code Website Professional","No-Code Web Academy","PROFESSIONAL","BEGINNER","3 Months",4,16,9,4,2,"Recommended Domain Capstone","AI-AUGMENTED","10 Stages","2 Core Sectors","No-Code Web Developer ->  Agency Web Builder","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Complete Professional","EVOLVING"
"wordpress-cert","WordPress","No-Code Web Academy","REPOSITION","BEGINNER","1 Month",3,9,9,3,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","WordPress Developer ->  CMS Webmaster","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","EVOLVING"
"woocommerce-cert","WooCommerce","No-Code Web Academy","MERGE","BEGINNER+","2 Weeks",1,1,9,1,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","WooCommerce Store Builder -> Specialist Lead","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","EVOLVING"
"shopify-cert","Shopify","No-Code Web Academy","MICRO","BEGINNER","1 Month",3,9,9,3,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","Shopify Developer ->  E-Commerce Store Manager","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","EVOLVING"
"elementor-cert","Elementor","No-Code Web Academy","MERGE","BEGINNER","2 Weeks",1,1,9,1,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","Elementor Designer -> Specialist Lead","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","EVOLVING"
"webflow-cert","Webflow","No-Code Web Academy","SPECIALIZATION","BEGINNER+","1-2 Months",4,12,9,4,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","Certified Webflow Developer -> Specialist Lead","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Advanced Specialized","EVOLVING"
"framer-cert","Framer","No-Code Web Academy","SPECIALIZATION","BEGINNER+","1 Month",4,12,9,4,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","Framer Motion Designer ->  Startup Landing Page Specialist","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Advanced Specialized","EVOLVING"
"motion-mastery","Motion Graphics Master","Video & Motion Academy","MASTER","BEGINNER+","6 Months",6,24,8,6,3,"Mandatory Enterprise Capstone","AI-TRANSFORMING","10 Stages","2 Core Sectors","Motion Designer ->  Senior Video Editor","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Deep Multi-Track Master","EVOLVING"
"video-pro","Professional Video Editing","Video & Motion Academy","PROFESSIONAL","BEGINNER","3 Months",4,16,8,4,2,"Recommended Domain Capstone","AI-TRANSFORMING","10 Stages","2 Core Sectors","Professional Video Editor ->  Commercial Editor","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Complete Professional","EVOLVING"
"ai-video-pro","AI Video Editing Professional","Video & Motion Academy","SPECIALIZATION","INTERMEDIATE","2-3 Months",4,12,8,4,2,"Practical Production Artifact","AI-TRANSFORMING","10 Stages","2 Core Sectors","AI Video Specialist ->  Generative Video Creator","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Advanced Specialized","EVOLVING"
"adobe-premiere-pro","Adobe Premiere Pro","Video & Motion Academy","MICRO","BEGINNER","1 Month",3,9,8,3,2,"Practical Production Artifact","AI-TRANSFORMING","10 Stages","2 Core Sectors","Premiere Pro Editor -> Specialist Lead","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","EVOLVING"
"after-effects","After Effects","Video & Motion Academy","SPECIALIZATION","BEGINNER+","1-2 Months",4,12,8,4,2,"Practical Production Artifact","AI-TRANSFORMING","10 Stages","2 Core Sectors","2D Motion Graphics Artist ->  VFX Compositor","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Advanced Specialized","EVOLVING"
"davinci-resolve","DaVinci Resolve","Video & Motion Academy","SPECIALIZATION","BEGINNER+","1-2 Months",4,12,8,4,2,"Practical Production Artifact","AI-TRANSFORMING","10 Stages","2 Core Sectors","Colorist ->  DaVinci Editor","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Advanced Specialized","EVOLVING"
"reels-editing","Reels Editing","Video & Motion Academy","MICRO","BEGINNER","3-4 Weeks",3,9,8,3,2,"Practical Production Artifact","AI-TRANSFORMING","10 Stages","2 Core Sectors","Short-Form Video Editor ->  Reels/TikTok Specialist","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","EVOLVING"
"motion-graphics-essentials","Motion Graphics Essentials","Video & Motion Academy","MERGE","BEGINNER","2-3 Weeks",1,1,8,1,2,"Practical Production Artifact","AI-TRANSFORMING","10 Stages","2 Core Sectors","Motion Assistant -> Specialist Lead","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","EVOLVING"
"archviz-mastery","Architectural Visualisation Master","3D Academy","MASTER","BEGINNER+","6 Months",6,24,10,6,3,"Mandatory Enterprise Capstone","AI-AUGMENTED","10 Stages","2 Core Sectors","Lead 3D Architectural Visualizer ->  ArchViz Director","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Deep Multi-Track Master","STABLE"
"3d-viz-pro","3D Visualisation Professional","3D Academy","PROFESSIONAL","BEGINNER","3 Months",4,16,10,4,2,"Recommended Domain Capstone","AI-AUGMENTED","10 Stages","2 Core Sectors","3D Artist ->  Architectural Modeler","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Complete Professional","STABLE"
"blender-cert","Blender","3D Academy","MICRO","BEGINNER","1-2 Months",3,9,10,3,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","Blender Generalist ->  3D Modeler","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","STABLE"
"3ds-max-cert","3ds Max","3D Academy","MICRO","BEGINNER","1-2 Months",3,9,10,3,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","3ds Max Modeler ->  ArchViz Specialist","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","STABLE"
"v-ray-cert","V-Ray","3D Academy","SPECIALIZATION","INTERMEDIATE","1 Month",4,12,10,4,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","Lighting & Rendering Artist -> Specialist Lead","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Advanced Specialized","STABLE"
"twinmotion-cert","Twinmotion","3D Academy","SPECIALIZATION","BEGINNER+","1 Month",4,12,10,4,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","Real-Time Visualization Artist -> Specialist Lead","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Advanced Specialized","STABLE"
"cinema-4d-cert","Cinema 4D","3D Academy","REPOSITION","BEGINNER+","1-2 Months",3,9,10,3,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","3D Motion Designer ->  Broadcast Designer","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","STABLE"
"unreal-engine-basics","Unreal Engine Basics","3D Academy","SPECIALIZATION","INTERMEDIATE","1-2 Months",4,12,10,4,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","Unreal Engine ArchViz Specialist ->  Real-Time Environment Artist","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Advanced Specialized","STABLE"
"freelancing-mastery","Freelancing Mastery","Career & Freelancing Academy","MASTER","INTERMEDIATE","4-6 Months",6,24,10,6,3,"Mandatory Enterprise Capstone","AI-AUGMENTED","10 Stages","2 Core Sectors","Independent Global Consultant ->  High-Ticket Freelancer","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Deep Multi-Track Master","STABLE"
"career-launch","Career Launch Program","Career & Freelancing Academy","PROFESSIONAL","BEGINNER","2-3 Months",4,16,10,4,2,"Recommended Domain Capstone","AI-AUGMENTED","10 Stages","2 Core Sectors","Job-Ready Graduate -> Specialist Lead","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Complete Professional","STABLE"
"resume-building","Resume Building","Career & Freelancing Academy","MODULE","BEGINNER","1 Week",2,6,10,2,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","Job Applicant -> Specialist Lead","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","STABLE"
"linkedin-optimisation","LinkedIn Optimisation","Career & Freelancing Academy","MICRO","BEGINNER","2-3 Weeks",3,9,10,3,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","LinkedIn Lead Creator -> Specialist Lead","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","STABLE"
"interview-preparation","Interview Preparation","Career & Freelancing Academy","MODULE","BEGINNER+","1-2 Weeks",2,6,10,2,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","Job Applicant -> Specialist Lead","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","STABLE"
"client-communication","Client Communication","Career & Freelancing Academy","MODULE","BEGINNER","1-2 Weeks",2,6,10,2,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","Client Handler -> Specialist Lead","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","STABLE"
"proposal-writing","Proposal Writing","Career & Freelancing Academy","MODULE","BEGINNER+","1-2 Weeks",2,6,10,2,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","Freelance Bidder -> Specialist Lead","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","STABLE"
"agency-building","Agency Building","Career & Freelancing Academy","SPECIALIZATION","ADVANCED","2 Months",4,12,10,4,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","Agency Founder ->  Managing Director","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Advanced Specialized","STABLE"
"fiverr-success","Fiverr Success","Career & Freelancing Academy","MICRO","BEGINNER","3-4 Weeks",3,9,10,3,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","Fiverr Level 2 / Pro Seller -> Specialist Lead","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","STABLE"
"upwork-success","Upwork Success","Career & Freelancing Academy","MICRO","BEGINNER+","1 Month",3,9,10,3,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","Top-Rated Upwork Freelancer -> Specialist Lead","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","STABLE"
"business-english","Business English & Personality Development","Communication Academy","MASTER","BEGINNER","4-6 Months",6,24,7,6,3,"Mandatory Enterprise Capstone","AI-AUGMENTED","10 Stages","2 Core Sectors","Corporate Executive ->  Global Business Professional","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Deep Multi-Track Master","STABLE"
"spoken-english-pro","Professional Spoken English","Communication Academy","PROFESSIONAL","BEGINNER","3 Months",4,16,7,4,2,"Recommended Domain Capstone","AI-AUGMENTED","10 Stages","2 Core Sectors","Fluent Corporate Communicator -> Specialist Lead","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Complete Professional","STABLE"
"spoken-english-cert","Spoken English","Communication Academy","MERGE","BEGINNER","1 Month",1,1,7,1,2,"Practical Production Artifact","HIGH COMMODITIZATION RISK","10 Stages","2 Core Sectors","Basic Speaker -> Specialist Lead","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","STABLE"
"business-communication","Business Communication","Communication Academy","MICRO","BEGINNER+","1 Month",3,9,7,3,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","Corporate Professional ->  Project Manager","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","STABLE"
"presentation-skills","Presentation Skills","Communication Academy","MICRO","BEGINNER+","1 Month",3,9,7,3,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","Sales Presenter ->  Team Lead","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","STABLE"
"public-speaking","Public Speaking","Communication Academy","SPECIALIZATION","INTERMEDIATE","1 Month",4,12,7,4,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","Keynote Speaker ->  Conference Presenter","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Advanced Specialized","STABLE"
"soft-skills","Soft Skills","Communication Academy","MODULE","BEGINNER","2-3 Weeks",2,6,7,2,2,"Practical Production Artifact","AI-AUGMENTED","10 Stages","2 Core Sectors","Professional Associate -> Specialist Lead","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Focused Practical","STABLE"
"kids-mastery","Future Tech Kids Mastery","Kids Tech Academy","MASTER","BEGINNER","6 Months",6,24,7,6,3,"Mandatory Enterprise Capstone","AI-AUGMENTED","10 Stages","2 Core Sectors","Young STEAM Innovator ->  Future Engineer","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Deep Multi-Track Master","STABLE"
"young-coders","Young Coders Program","Kids Tech Academy","PROFESSIONAL","BEGINNER","3 Months",4,16,7,4,2,"Recommended Domain Capstone","AI-AUGMENTED","10 Stages","2 Core Sectors","Junior Coder -> Specialist Lead","High-Ticket Retainers & Global Upwork/Fiverr Delivery","Complete Professional","STABLE"
