course_number,course_id,course_name,academy,current_type,recommended_type,course_role,parent_program,entry_level,prerequisites,recommended_next_course,learning_path,career_endpoint,primary_career_roles,secondary_career_roles,recommended_depth,recommended_duration_range,project_depth,overlap_risk,overlap_with,value_as_standalone,recommended_action,dependency_notes,architecture_notes
17,"ai-for-business-pro","AI for Business Professional","AI Academy","Professional Program","SPECIALIZATION","Professional Skill","ai-mastery","BEGINNER+","ai-productivity OR general business management","ai-automation-n8n","AI & Machine Intelligence Path","BUSINESS / SPECIALIST","AI Business Analyst, Digital Transformation Consultant","Product Manager","PROFESSIONAL","3 Months","PORTFOLIO","MEDIUM","ai-productivity","CLEAR","SPECIALIZATION","Enterprise AI adoption, cost/ROI modeling, security guardrails.","Position for business leaders and consultants."
18,"prompt-engineering","Prompt Engineering","AI Academy","Certification Course","REPOSITION","Foundation","ai-mastery","BEGINNER","None","ai-automation-n8n","AI & Machine Intelligence Path","FOUNDATIONAL","AI Prompt Specialist, Content Technologist","AI Operator","SHORT","1 Month","PRACTICAL","HIGH","chatgpt-mastery, claude-productivity","PARTIAL","REPOSITION","Reposition from basic conversational prompting to Context Engineering, Structured JSON Schemas & System Prompts.","Foundational shared module for all academies."
19,"ai-automation-n8n","AI Automation with n8n","AI Academy","Certification Course","SPECIALIZATION","Core Skill","ai-mastery","BEGINNER+","prompt-engineering OR basic workflow logic","ai-agents-fundamentals","AI & Machine Intelligence Path","JOB / FREELANCE","AI Automation Specialist, n8n Workflow Consultant","Operations Engineer","SHORT","2 Months","PORTFOLIO","LOW","None","CLEAR","SPECIALIZATION","Webhooks, APIs, LLM node chaining, database connections.","Top high-growth freelance specialization."
20,"ai-agents-fundamentals","AI Agents Fundamentals","AI Academy","Certification Course","SPECIALIZATION","Advanced Skill","ai-mastery","INTERMEDIATE","ai-automation-n8n OR basic Python","ai-mastery","AI & Machine Intelligence Path","JOB / SPECIALIST","AI Agent Engineer, Autonomous Systems Developer","GenAI Consultant","ADVANCED SPECIALIZATION","2 Months","PORTFOLIO","LOW","ai-mastery Phase 4","CLEAR","SPECIALIZATION","Multi-agent frameworks (CrewAI, LangGraph), Model Context Protocol (MCP).","Elite modern 2026 specialization track."
21,"chatgpt-mastery","ChatGPT Mastery","AI Academy","Certification Course","REPOSITION","Foundation","ai-productivity","BEGINNER","None","ai-automation-n8n","AI & Machine Intelligence Path","FOUNDATIONAL","Digital Assistant Operator","Content Creator","MICRO","1 Month","PRACTICAL","HIGH","gemini-mastery, claude-productivity","PARTIAL","REPOSITION","Reposition into a Unified Multi-LLM Masterclass (ChatGPT + Claude + Gemini).","Consolidate single-vendor silos into multi-model intelligence."
22,"gemini-mastery","Gemini Mastery","AI Academy","Certification Course","MERGE","Supporting Skill","chatgpt-mastery","BEGINNER","None","chatgpt-mastery","AI & Machine Intelligence Path","FOUNDATIONAL","AI User","None","MICRO","2 Weeks","EXERCISE","HIGH","chatgpt-mastery, claude-productivity","WEAK","MERGE LATER","Single-vendor tool course with insufficient standalone depth.","Merge into Unified Multi-LLM Masterclass."
23,"claude-productivity","Claude for Productivity","AI Academy","Certification Course","MERGE","Supporting Skill","chatgpt-mastery","BEGINNER","None","chatgpt-mastery","AI & Machine Intelligence Path","FOUNDATIONAL","AI User","None","MICRO","2 Weeks","EXERCISE","HIGH","chatgpt-mastery, gemini-mastery","WEAK","MERGE LATER","Single-vendor tool course with insufficient standalone depth.","Merge into Unified Multi-LLM Masterclass."
24,"ai-research-tools","AI Research Tools","AI Academy","Certification Course","MODULE","Supporting Skill","ai-productivity","BEGINNER","None","ai-productivity","AI & Machine Intelligence Path","FOUNDATIONAL","Academic / Market Researcher","Analyst","MICRO","1-2 Weeks","EXERCISE","HIGH","ai-productivity","WEAK","MODULE","Perplexity, Consensus, Elicit. Lives best inside research modules.","Embed as module in AI Productivity."
25,"creative-design","Creative Design Master","Design Academy","Career Program","MASTER","Career/Monetization","","BEGINNER+","Creative aptitude, basic visual taste","uiux-design-pro","Visual Design & UI/UX Path","JOB / FREELANCE / STUDIO","Visual Designer, Art Director, Product Designer","Brand Consultant, Creative Lead","MASTER","6 Months","MULTIPLE PROJECTS + CAPSTONE","HIGH","Subsumes Photoshop, Illustrator, Graphic Design, Figma","CLEAR","MODERNIZE","Flagship visual creative career program.","Reposition toward Brand Strategy, Design Systems & AI Creative Direction."
26,"graphic-design-pro","Graphic Design Professional","Design Academy","Professional Program","PROFESSIONAL","Professional Skill","creative-design","BEGINNER","None","uiux-design-pro","Visual Design & UI/UX Path","JOB / FREELANCE","Graphic Designer, Brand Designer","Visual Content Specialist","PROFESSIONAL","3 Months","PORTFOLIO","HIGH","creative-design, adobe-photoshop, adobe-illustrator","CLEAR","MODERNIZE","Solid professional standalone for visual design without UI/UX.","Core 3-month graphic design standalone."
27,"uiux-design-pro","UI/UX Design Professional","Design Academy","Professional Program","SPECIALIZATION","Specialization","creative-design","BEGINNER+","Basic design principles OR figma-ui-design","creative-design","Visual Design & UI/UX Path","JOB / SPECIALIST","UI/UX Designer, Product Designer, Interaction Designer","UX Researcher","PROFESSIONAL","3 Months","PORTFOLIO","MEDIUM","figma-ui-design","CLEAR","SPECIALIZATION","User research, wireframing, usability testing, design systems.","Top-tier career specialization for tech products."
28,"adobe-photoshop","Adobe Photoshop","Design Academy","Certification Course","MICRO","Core Skill","graphic-design-pro","BEGINNER","None","adobe-illustrator","Visual Design & UI/UX Path","JOB / FREELANCE","Photo Retoucher, Digital Artist","Graphic Designer","SHORT","1 Month","PRACTICAL","MEDIUM","graphic-design-pro","CLEAR","KEEP","Raster manipulation, composite editing, Firefly Generative Fill.","Classic desktop tool certification with AI updates."
29,"adobe-illustrator","Adobe Illustrator","Design Academy","Certification Course","MICRO","Core Skill","graphic-design-pro","BEGINNER","None","brand-identity-design","Visual Design & UI/UX Path","JOB / FREELANCE","Vector Illustrator, Logo Artist","Icon Designer","SHORT","1 Month","PRACTICAL","MEDIUM","graphic-design-pro","CLEAR","KEEP","Vector pen tool, bezier curves, logo geometry, typography.","Core vector certification."
30,"canva-pro","Canva Professional","Design Academy","Certification Course","REPOSITION","Supporting Skill","dm-professional","BEGINNER","None","figma-ui-design","Visual Design & UI/UX Path","SUPPORTING","Social Media Designer, Marketing Assistant","Virtual Assistant","MICRO","2-3 Weeks","PRACTICAL","HIGH","social-media-marketing","WEAK","REPOSITION","Reposition from graphic design course to Rapid Social & Marketing Asset Creation for Non-Designers.","Reposition to avoid devaluing professional design credentials."
31,"figma-ui-design","Figma UI Design","Design Academy","Certification Course","MICRO","Core Skill","uiux-design-pro","BEGINNER","None","uiux-design-pro","Visual Design & UI/UX Path","JOB / FREELANCE","UI Designer, Figma Specialist","Design System Assistant","SHORT","2 Months","PRACTICAL","MEDIUM","uiux-design-pro","CLEAR","KEEP","Auto Layout, Variables, Component Sets, Dev Mode.","Essential high-demand tool certification."
32,"brand-identity-design","Brand Identity Design","Design Academy","Certification Course","SPECIALIZATION","Specialization","graphic-design-pro","INTERMEDIATE","adobe-illustrator OR graphic-design-pro","creative-design","Visual Design & UI/UX Path","FREELANCE / SPECIALIST","Brand Identity Designer, Brand Strategist","Creative Consultant","SHORT","1-2 Months","PORTFOLIO","MEDIUM","logo-design","CLEAR","SPECIALIZATION","Visual identity systems, brand guidelines, typography hierarchy.","High-value creative specialization."
33,"packaging-design","Packaging Design","Design Academy","Certification Course","SPECIALIZATION","Specialization","graphic-design-pro","INTERMEDIATE","adobe-illustrator + adobe-photoshop","creative-design","Visual Design & UI/UX Path","SPECIALIST","Packaging Designer, Print Production Specialist","D2C Product Visualizer","SHORT","1 Month","PORTFOLIO","LOW","None","CLEAR","SPECIALIZATION","Dielines, 3D mockups, print finishes, FDA/regulatory labeling.","Solid physical product specialization for FMCG/D2C."
34,"logo-design","Logo Design","Design Academy","Certification Course","MODULE","Specialization","brand-identity-design","BEGINNER+","adobe-illustrator","brand-identity-design","Visual Design & UI/UX Path","FREELANCE","Logo Designer","Icon Designer","MICRO","2-3 Weeks","PRACTICAL","HIGH","brand-identity-design, adobe-illustrator","PARTIAL","MODULE","Naturally forms the core module of Brand Identity Design.","Integrate into Brand Identity Design."
35,"fullstack-foundation","Full Stack Programming Foundation","Programming Academy","Career Program","MASTER","Career/Monetization","","BEGINNER+","High logical aptitude, basic computer literacy","ai-web-dev-pro","Software Engineering & Web Development Path","JOB / FREELANCE / SAAS","Full Stack Software Engineer, Web App Developer","Frontend/Backend Engineer, Tech Co-founder","MASTER","6 Months","MULTIPLE PROJECTS + CAPSTONE","HIGH","Subsumes HTML, JS, React, Node, SQL, Git","CLEAR","MODERNIZE","Flagship fullstack engineering pathway.","Modernize to Next.js App Router, TypeScript, Supabase, Cursor AI."
36,"python-developer","Python Developer Professional","Programming Academy","Professional Program","PROFESSIONAL","Professional Skill","fullstack-foundation","BEGINNER","None","ai-mastery","Software Engineering & Web Development Path","JOB / SPECIALIST","Python Developer, Backend Associate, Automation Engineer","Data Engineering Associate","PROFESSIONAL","3 Months","PORTFOLIO","MEDIUM","programming courses, AI academy","CLEAR","MODERNIZE","FastAPI, async Python 3.12, database ORMs, automation.","Standout backend and general-purpose programming track."
37,"ai-web-dev-pro","AI Web Development Professional","Programming Academy","Professional Program","SPECIALIZATION","Advanced Skill","fullstack-foundation","INTERMEDIATE","fullstack-foundation OR react-cert","ai-mastery","Software Engineering & Web Development Path","JOB / SPECIALIST","AI Web Developer, Full Stack AI Specialist","SaaS Builder","ADVANCED SPECIALIZATION","2-3 Months","PORTFOLIO","MEDIUM","fullstack-foundation","CLEAR","SPECIALIZATION","v0.dev, Cursor, LLM API streaming, vector databases, edge functions.","Cutting-edge modern developer specialization."
38,"html-css","HTML & CSS","Programming Academy","Certification Course","MODULE","Foundation","fullstack-foundation","BEGINNER","None","javascript-cert","Software Engineering & Web Development Path","FOUNDATIONAL","Junior Web Assistant","None","MICRO","2-3 Weeks","EXERCISE","HIGH","fullstack-foundation","WEAK","MODULE","Semantics, flexbox, grid. Insufficient standalone market value today.","Convert to foundational module inside Full Stack & Frontend."
39,"javascript-cert","JavaScript","Programming Academy","Certification Course","MICRO","Core Skill","fullstack-foundation","BEGINNER","html-css","react-cert","Software Engineering & Web Development Path","JOB","Junior JavaScript Developer","Frontend Trainee","SHORT","1 Month","PRACTICAL","MEDIUM","fullstack-foundation","CLEAR","KEEP","ES6+, DOM manipulation, asynchronous promises, fetch API.","Keep as standalone language certification."
40,"react-cert","React","Programming Academy","Certification Course","MICRO","Core Skill","fullstack-foundation","INTERMEDIATE","javascript-cert","node-js","Software Engineering & Web Development Path","JOB / FREELANCE","React Developer, Frontend Engineer","UI Engineer","SHORT","1-2 Months","PORTFOLIO","MEDIUM","fullstack-foundation","CLEAR","KEEP","Hooks, components, Tailwind CSS, state management, Next.js intro.","Top commercial frontend library certification."
41,"node-js","Node.js","Programming Academy","Certification Course","MICRO","Core Skill","fullstack-foundation","INTERMEDIATE","javascript-cert","sql-basics","Software Engineering & Web Development Path","JOB","Node.js Backend Developer","API Engineer","SHORT","1-2 Months","PORTFOLIO","MEDIUM","fullstack-foundation","CLEAR","KEEP","Express/Fastify, REST architecture, auth JWT, middleware.","Core backend runtime certification."
42,"sql-basics","SQL Basics","Programming Academy","Certification Course","MICRO","Supporting Skill","fullstack-foundation","BEGINNER","None","node-js","Software Engineering & Web Development Path","JOB / SUPPORTING","Database Administrator Associate, SQL Query Writer","Backend Associate","MICRO","3-4 Weeks","PRACTICAL","LOW","data analytics courses","CLEAR","KEEP","PostgreSQL, normalization, joins, indexing, migrations.","Durable foundational skill used in programming and office data."
43,"git-github","Git & GitHub","Programming Academy","Certification Course","MODULE","Supporting Skill","fullstack-foundation","BEGINNER","None","fullstack-foundation","Software Engineering & Web Development Path","FOUNDATIONAL","Version Control Operator","None","MICRO","1-2 Weeks","EXERCISE","HIGH","all coding courses","WEAK","MODULE","Commits, branches, PRs, merge conflicts, GitHub Actions.","Universal developer tool; embed as shared module in all programming tracks."
44,"rest-apis","REST APIs","Programming Academy","Certification Course","MODULE","Supporting Skill","node-js","BEGINNER+","javascript-cert","node-js","Software Engineering & Web Development Path","FOUNDATIONAL","API Integrator","None","MICRO","1-2 Weeks","EXERCISE","HIGH","node-js, fullstack-foundation","WEAK","MODULE","HTTP methods, status codes, JSON payloads, Postman.","Integrate into Node.js and Full Stack foundations."
45,"ecommerce-mastery","E-Commerce Website Mastery","No-Code Web Academy","Career Program","MASTER","Career/Monetization","","BEGINNER","Basic computer literacy","agency-building","No-Code & Visual Web Architecture Path","FREELANCE / BUSINESS","Shopify Store Builder, E-Commerce Consultant","D2C Merchant, E-Commerce Store Manager","MASTER","4-6 Months","MULTIPLE PROJECTS + CAPSTONE","HIGH","shopify-cert, woocommerce-cert","CLEAR","MODERNIZE","Comprehensive online store creation, payments, CRO, fulfillment.","Flagship e-commerce career and agency pathway."
46,"nocode-web-pro","No-Code Website Professional","No-Code Web Academy","Professional Program","PROFESSIONAL","Professional Skill","ecommerce-mastery","BEGINNER","None","framer-cert","No-Code & Visual Web Architecture Path","JOB / FREELANCE","No-Code Web Developer, Agency Web Builder","Webflow Specialist","PROFESSIONAL","3 Months","PORTFOLIO","HIGH","wordpress, webflow, framer","CLEAR","MODERNIZE","Webflow, Framer, modern WordPress, integrations.","Strong 3-month multi-platform no-code website program."
47,"wordpress-cert","WordPress","No-Code Web Academy","Certification Course","REPOSITION","Core Skill","nocode-web-pro","BEGINNER","None","woocommerce-cert","No-Code & Visual Web Architecture Path","JOB / FREELANCE","WordPress Developer, CMS Webmaster","Freelance Web Designer","SHORT","1 Month","PRACTICAL","HIGH","elementor-cert, woocommerce-cert","CLEAR","REPOSITION","Reposition from plugin-heavy page building to Modern Full Site Editing (FSE), Speed Optimization & Secure CMS Management.","Upgrade to modern WordPress 6.x standards."
48,"woocommerce-cert","WooCommerce","No-Code Web Academy","Certification Course","MERGE","Specialization","wordpress-cert","BEGINNER+","wordpress-cert","shopify-cert","No-Code & Visual Web Architecture Path","FREELANCE","WooCommerce Store Builder","None","MICRO","2 Weeks","PRACTICAL","HIGH","wordpress-cert, ecommerce-mastery","WEAK","MERGE LATER","Plugin extension of WordPress. Better taught inside WordPress/E-Commerce.","Consolidate into WordPress or E-Commerce track."
49,"shopify-cert","Shopify","No-Code Web Academy","Certification Course","MICRO","Core Skill","ecommerce-mastery","BEGINNER","None","ecommerce-mastery","No-Code & Visual Web Architecture Path","FREELANCE / BUSINESS","Shopify Developer, E-Commerce Store Manager","D2C Merchant","SHORT","1 Month","PRACTICAL","MEDIUM","ecommerce-mastery","CLEAR","KEEP","Theme customization, apps, Checkout Extensibility, payment gateways.","High SME and agency client demand across India and globally."
50,"elementor-cert","Elementor","No-Code Web Academy","Certification Course","MERGE","Supporting Skill","wordpress-cert","BEGINNER","None","wordpress-cert","No-Code & Visual Web Architecture Path","FREELANCE","Elementor Designer","None","MICRO","2 Weeks","EXERCISE","HIGH","wordpress-cert","WEAK","MERGE LATER","Single plugin page builder. Declining modern value due to site bloat.","Merge into WordPress certification as a module."
51,"webflow-cert","Webflow","No-Code Web Academy","Certification Course","SPECIALIZATION","Core Skill","nocode-web-pro","BEGINNER+","Basic box model understanding","framer-cert","No-Code & Visual Web Architecture Path","FREELANCE / SPECIALIST","Certified Webflow Developer","Creative Web Designer","SHORT","1-2 Months","PORTFOLIO","LOW","None","CLEAR","SPECIALIZATION","CMS collections, client billing, custom code embeds, interactions.","Premium freelance rate earner ($50-$100/hr globally)."
52,"framer-cert","Framer","No-Code Web Academy","Certification Course","SPECIALIZATION","Core Skill","nocode-web-pro","BEGINNER+","Basic Figma or design knowledge","webflow-cert","No-Code & Visual Web Architecture Path","FREELANCE / SPECIALIST","Framer Motion Designer, Startup Landing Page Specialist","Interactive Designer","SHORT","1 Month","PORTFOLIO","LOW","None","CLEAR","SPECIALIZATION","Figma-to-Framer, scroll effects, components, instant publishing.","High-velocity 2026 tool for tech startup sites."
53,"motion-mastery","Motion Graphics Master","Video & Motion Academy","Career Program","MASTER","Career/Monetization","","BEGINNER+","Basic visual editing familiarity","freelance-agency-master","Video Production & Motion Graphics Path","JOB / FREELANCE / STUDIO","Motion Designer, Senior Video Editor, Creative Animator","Commercial Post-Production Lead","MASTER","6 Months","MULTIPLE PROJECTS + CAPSTONE","HIGH","Subsumes Premiere, After Effects, DaVinci, Reels","CLEAR","MODERNIZE","End-to-end post-production, motion graphics, and neural video editing.","Flagship creative video career track."
54,"video-pro","Professional Video Editing","Video & Motion Academy","Professional Program","PROFESSIONAL","Professional Skill","motion-mastery","BEGINNER","None","after-effects","Video Production & Motion Graphics Path","JOB / FREELANCE","Professional Video Editor, Commercial Editor","YouTube Video Editor","PROFESSIONAL","3 Months","PORTFOLIO","HIGH","adobe-premiere-pro, davinci-resolve","CLEAR","MODERNIZE","Narrative rhythm, sound design, multi-cam, color correction.","Core 3-month video editing standalone program."
55,"ai-video-pro","AI Video Editing Professional","Video & Motion Academy","Professional Program","SPECIALIZATION","Advanced Skill","video-pro","INTERMEDIATE","video-pro OR adobe-premiere-pro","motion-mastery","Video Production & Motion Graphics Path","JOB / SPECIALIST","AI Video Specialist, Generative Video Creator","Commercial Creative Technologist","ADVANCED SPECIALIZATION","2-3 Months","PORTFOLIO","LOW","None","CLEAR","SPECIALIZATION","Runway Gen-3, Pika, ElevenLabs voice cloning, neural upscaling.","High-growth 2026/27 creative specialization."
56,"adobe-premiere-pro","Adobe Premiere Pro","Video & Motion Academy","Certification Course","MICRO","Core Skill","video-pro","BEGINNER","None","after-effects","Video Production & Motion Graphics Path","JOB / FREELANCE","Premiere Pro Editor","Assistant Editor","SHORT","1 Month","PRACTICAL","MEDIUM","video-pro","CLEAR","KEEP","Industry standard NLE for agency and broadcast workflows.","Standard video tool certification."
57,"after-effects","After Effects","Video & Motion Academy","Certification Course","SPECIALIZATION","Core Skill","motion-mastery","BEGINNER+","Basic Photoshop or video editing experience","motion-mastery","Video Production & Motion Graphics Path","JOB / SPECIALIST","2D Motion Graphics Artist, VFX Compositor","Title Animator","SHORT","1-2 Months","PORTFOLIO","MEDIUM","motion-graphics-essentials","CLEAR","SPECIALIZATION","Keyframing, expressions, 3D camera tracker, shape animations.","Indispensable commercial motion graphics tool."
58,"davinci-resolve","DaVinci Resolve","Video & Motion Academy","Certification Course","SPECIALIZATION","Specialization","video-pro","BEGINNER+","Basic video editing principles","video-pro","Video Production & Motion Graphics Path","SPECIALIST","Colorist, DaVinci Editor","Post-Production Specialist","SHORT","1-2 Months","PORTFOLIO","LOW","None","CLEAR","SPECIALIZATION","Color grading nodes, LUTs, Fairlight audio, Neural Engine.","High-value color grading & finishing specialization."
59,"reels-editing","Reels Editing","Video & Motion Academy","Certification Course","MICRO","Supporting Skill","video-pro","BEGINNER","None","video-pro","Video Production & Motion Graphics Path","FREELANCE / CREATOR","Short-Form Video Editor, Reels/TikTok Specialist","Creator Assistant","MICRO","3-4 Weeks","PRACTICAL","MEDIUM","creator academy short-video-strategy","CLEAR","KEEP","CapCut Desktop, dynamic subtitles, viral sound hooks, fast pacing.","High demand for social media creators and D2C brands."
60,"motion-graphics-essentials","Motion Graphics Essentials","Video & Motion Academy","Certification Course","MERGE","Supporting Skill","after-effects","BEGINNER","None","after-effects","Video Production & Motion Graphics Path","FOUNDATIONAL","Motion Assistant","None","MICRO","2-3 Weeks","EXERCISE","HIGH","after-effects","WEAK","MERGE LATER","Substantially identical to introductory After Effects.","Consolidate into After Effects course."
61,"archviz-mastery","Architectural Visualisation Master","3D Academy","Career Program","MASTER","Career/Monetization","","BEGINNER+","Spatial sense, CAD reading or 3D aptitude","freelance-agency-master","3D Design & Architectural Visualization Path","JOB / FREELANCE / STUDIO","Lead 3D Architectural Visualizer, ArchViz Director","Real-Time Visualization Artist","MASTER","6 Months","MULTIPLE PROJECTS + CAPSTONE","HIGH","Subsumes 3ds Max, Blender, V-Ray, Unreal, Twinmotion","CLEAR","MODERNIZE","Flagship 3D visualization and real estate marketing program.","Upgrade to real-time Unreal Engine 5 Lumen/Nanite rendering."
