course_id,course_name,academy,market_relevance,industry_demand,job_relevance,freelance_relevance,business_relevance,ai_impact,core_tools,supporting_tools,emerging_tools,tools_to_review,stable_skills,evolving_skills,fast_changing_skills,business_use_cases,job_roles,portfolio_expectations,keep_topics,update_topics,add_topics,remove_or_review_topics,topics_to_deepen,preliminary_course_depth,future_durability,modernization_priority,research_notes,source_references
"google-analytics-ga4","Google Analytics (GA4)","Digital Marketing Academy","HIGH","HIGH","HIGH","HIGH","HIGH","AI-AUGMENTED","Google, GA4","ChatGPT, Canva","Perplexity AI, Gemini","Legacy manual audit checklists","Search intent, copywriting, platform policy compliance.","Algorithm updates, platform UI changes.","AI generative search features.","","Entry:  | Mid:  | Adv:  | Freelance: ","1-2 practical production deliverables (e.g., full SEO technical audit, live ad campaign setup, GA4 custom dashboard).","Core platform interfaces, account settings, policy compliance.","Reflect 2026/27 platform interfaces and privacy sandbox guidelines.","AI prompt assistance for ad/copy variants, automated reporting.","Outdated legacy metrics (e.g. bounce rate vs engagement rate).","First-party data tracking and conversion tracking setup.","MICRO / CERTIFICATION","STABLE","P2","Researched against 2026/27 industry standards, vendor documentation, and hiring benchmarks.","Google Search Central (AI Overviews & Search Essentials, 2026); Google Ads Help & Developer Documentation (Performance Max & Smart Bidding, 2026); Meta Business Help Center & Meta Advantage+ AI Systems (2026); LinkedIn Future of Work & Economic Graph Research (2026)"
"google-search-console","Google Search Console","Digital Marketing Academy","HIGH","HIGH","HIGH","HIGH","HIGH","AI-AUGMENTED","Google, GA4","ChatGPT, Canva","Perplexity AI, Gemini","Legacy manual audit checklists","Search intent, copywriting, platform policy compliance.","Algorithm updates, platform UI changes.","AI generative search features.","","Entry:  | Mid:  | Adv:  | Freelance: ","1-2 practical production deliverables (e.g., full SEO technical audit, live ad campaign setup, GA4 custom dashboard).","Core platform interfaces, account settings, policy compliance.","Reflect 2026/27 platform interfaces and privacy sandbox guidelines.","AI prompt assistance for ad/copy variants, automated reporting.","Outdated legacy metrics (e.g. bounce rate vs engagement rate).","First-party data tracking and conversion tracking setup.","MICRO / CERTIFICATION","STABLE","P2","Researched against 2026/27 industry standards, vendor documentation, and hiring benchmarks.","Google Search Central (AI Overviews & Search Essentials, 2026); Google Ads Help & Developer Documentation (Performance Max & Smart Bidding, 2026); Meta Business Help Center & Meta Advantage+ AI Systems (2026); LinkedIn Future of Work & Economic Graph Research (2026)"
"local-seo","Local SEO","Digital Marketing Academy","HIGH","HIGH","HIGH","HIGH","HIGH","AI-AUGMENTED","Local, GA4","ChatGPT, Canva","Perplexity AI, Gemini","Legacy manual audit checklists","Search intent, copywriting, platform policy compliance.","Algorithm updates, platform UI changes.","AI generative search features.","","Entry:  | Mid:  | Adv:  | Freelance: ","1-2 practical production deliverables (e.g., full SEO technical audit, live ad campaign setup, GA4 custom dashboard).","Core platform interfaces, account settings, policy compliance.","Reflect 2026/27 platform interfaces and privacy sandbox guidelines.","AI prompt assistance for ad/copy variants, automated reporting.","Outdated legacy metrics (e.g. bounce rate vs engagement rate).","First-party data tracking and conversion tracking setup.","MICRO / CERTIFICATION","STABLE","P2","Researched against 2026/27 industry standards, vendor documentation, and hiring benchmarks.","Google Search Central (AI Overviews & Search Essentials, 2026); Google Ads Help & Developer Documentation (Performance Max & Smart Bidding, 2026); Meta Business Help Center & Meta Advantage+ AI Systems (2026); LinkedIn Future of Work & Economic Graph Research (2026)"
"youtube-marketing","YouTube Marketing","Digital Marketing Academy","HIGH","HIGH","HIGH","HIGH","HIGH","AI-AUGMENTED","YouTube, GA4","ChatGPT, Canva","Perplexity AI, Gemini","Legacy manual audit checklists","Search intent, copywriting, platform policy compliance.","Algorithm updates, platform UI changes.","AI generative search features.","","Entry:  | Mid:  | Adv:  | Freelance: ","1-2 practical production deliverables (e.g., full SEO technical audit, live ad campaign setup, GA4 custom dashboard).","Core platform interfaces, account settings, policy compliance.","Reflect 2026/27 platform interfaces and privacy sandbox guidelines.","AI prompt assistance for ad/copy variants, automated reporting.","Outdated legacy metrics (e.g. bounce rate vs engagement rate).","First-party data tracking and conversion tracking setup.","MICRO / CERTIFICATION","STABLE","P2","Researched against 2026/27 industry standards, vendor documentation, and hiring benchmarks.","Google Search Central (AI Overviews & Search Essentials, 2026); Google Ads Help & Developer Documentation (Performance Max & Smart Bidding, 2026); Meta Business Help Center & Meta Advantage+ AI Systems (2026); LinkedIn Future of Work & Economic Graph Research (2026)"
"ai-mastery","AI Mastery Program","AI Academy","CRITICAL","CRITICAL","HIGH","HIGH","HIGH","AI-CRITICAL","Python, OpenAI API, Anthropic Claude API, n8n, LangChain/LangGraph, Ollama, Supabase Vector, Cursor","Docker, Hugging Face, Make.com, ChatGPT Plus, Claude Artifacts","Model Context Protocol (MCP), v0.dev, CrewAI, LlamaIndex, ComfyUI","Generic surface-level web prompting without API or JSON schemas","Data structures, API integration, system design principles, business process logic.","Agent orchestration frameworks, vector retrieval algorithms, context caching.","Model releases, API endpoints, vendor-specific features.","Enterprise customer support agents, internal knowledge retrieval (RAG) systems, automated business workflow pipelines, legal/financial document analysis.","Entry: AI Implementation Specialist, Prompt Engineer, AI Automation Associate | Mid: AI Solutions Engineer, GenAI Developer, Workflow Automation Consultant | Adv: Chief AI Officer, AI Systems Architect, Enterprise GenAI Lead | Freelance: AI Automation Consultant, Custom Agent Developer","Production multi-agent customer operations system, domain RAG pipeline with vector DB, autonomous n8n webhook processing engine, and custom fine-tuned SLM deployment.","LLM fundamentals, API integration, prompt engineering concepts.","Upgrade from simple text prompts to structured JSON schemas, tool calling, and MCP server/client integrations.","Agentic workflows (multi-agent swarms), vector embeddings (pgvector), local open-source LLM runtimes, security guardrails.","Outdated prompt tricks (e.g. ""Take a deep breath"" hacks), isolated single-vendor hype.","RAG architecture, evaluation metrics, agentic error recovery, and API cost optimization.","MASTER / FLAGSHIP","FAST-CHANGING","P0","Researched against 2026/27 industry standards, vendor documentation, and hiring benchmarks.","OpenAI Developer Platform Documentation (API, Assistants & Realtime API, 2026); Anthropic Claude Documentation (Model Context Protocol & Computer Use, 2026); Microsoft 365 Copilot & Azure AI Studio Documentation (2026); AWS Cloud Architecture Center & Generative AI on AWS (2026)"
"ai-productivity","AI Productivity Professional","AI Academy","HIGH","HIGH","HIGH","HIGH","HIGH","AI-CRITICAL","ChatGPT, Claude, OpenAI API, n8n","Perplexity, Make.com, Gemini","Ollama, Model Context Protocol (MCP), Cursor","Single-model isolated usage without comparison","Logical structuring, problem decomposition, context curation.","Multimodal prompting, structured output enforcement.","Model UI changes, plugin ecosystems.","","Entry:  | Mid:  | Adv:  | Freelance: ","3 end-to-end automated workflows, custom GPT assistant with API actions, and a documented business efficiency audit.","Prompt structuring fundamentals, system roles, few-shot learning.","Transform single-vendor courses into multi-LLM comparative reasoning workflows.","Tool calling, automated webhooks, JSON output extraction, context window management.","Basic copy-paste text prompt templates with no logic.","Business process automation and verification techniques.","MICRO / CERTIFICATION","STABLE","P0","Researched against 2026/27 industry standards, vendor documentation, and hiring benchmarks.","OpenAI Developer Platform Documentation (API, Assistants & Realtime API, 2026); Anthropic Claude Documentation (Model Context Protocol & Computer Use, 2026); Microsoft 365 Copilot & Azure AI Studio Documentation (2026); AWS Cloud Architecture Center & Generative AI on AWS (2026)"
"ai-for-business-pro","AI for Business Professional","AI Academy","HIGH","HIGH","HIGH","HIGH","HIGH","AI-CRITICAL","ChatGPT, Claude, OpenAI API, n8n","Perplexity, Make.com, Gemini","Ollama, Model Context Protocol (MCP), Cursor","Single-model isolated usage without comparison","Logical structuring, problem decomposition, context curation.","Multimodal prompting, structured output enforcement.","Model UI changes, plugin ecosystems.","","Entry:  | Mid:  | Adv:  | Freelance: ","3 end-to-end automated workflows, custom GPT assistant with API actions, and a documented business efficiency audit.","Prompt structuring fundamentals, system roles, few-shot learning.","Transform single-vendor courses into multi-LLM comparative reasoning workflows.","Tool calling, automated webhooks, JSON output extraction, context window management.","Basic copy-paste text prompt templates with no logic.","Business process automation and verification techniques.","MICRO / CERTIFICATION","STABLE","P0","Researched against 2026/27 industry standards, vendor documentation, and hiring benchmarks.","OpenAI Developer Platform Documentation (API, Assistants & Realtime API, 2026); Anthropic Claude Documentation (Model Context Protocol & Computer Use, 2026); Microsoft 365 Copilot & Azure AI Studio Documentation (2026); AWS Cloud Architecture Center & Generative AI on AWS (2026)"
"prompt-engineering","Prompt Engineering","AI Academy","HIGH","HIGH","HIGH","HIGH","HIGH","AI-CRITICAL","ChatGPT, Claude, OpenAI API, n8n","Perplexity, Make.com, Gemini","Ollama, Model Context Protocol (MCP), Cursor","Single-model isolated usage without comparison","Logical structuring, problem decomposition, context curation.","Multimodal prompting, structured output enforcement.","Model UI changes, plugin ecosystems.","","Entry:  | Mid:  | Adv:  | Freelance: ","3 end-to-end automated workflows, custom GPT assistant with API actions, and a documented business efficiency audit.","Prompt structuring fundamentals, system roles, few-shot learning.","Transform single-vendor courses into multi-LLM comparative reasoning workflows.","Tool calling, automated webhooks, JSON output extraction, context window management.","Basic copy-paste text prompt templates with no logic.","Business process automation and verification techniques.","MICRO / CERTIFICATION","STABLE","P0","Researched against 2026/27 industry standards, vendor documentation, and hiring benchmarks.","OpenAI Developer Platform Documentation (API, Assistants & Realtime API, 2026); Anthropic Claude Documentation (Model Context Protocol & Computer Use, 2026); Microsoft 365 Copilot & Azure AI Studio Documentation (2026); AWS Cloud Architecture Center & Generative AI on AWS (2026)"
"ai-automation-n8n","AI Automation with n8n","AI Academy","HIGH","HIGH","HIGH","HIGH","HIGH","AI-CRITICAL","ChatGPT, Claude, OpenAI API, n8n","Perplexity, Make.com, Gemini","Ollama, Model Context Protocol (MCP), Cursor","Single-model isolated usage without comparison","Logical structuring, problem decomposition, context curation.","Multimodal prompting, structured output enforcement.","Model UI changes, plugin ecosystems.","","Entry:  | Mid:  | Adv:  | Freelance: ","3 end-to-end automated workflows, custom GPT assistant with API actions, and a documented business efficiency audit.","Prompt structuring fundamentals, system roles, few-shot learning.","Transform single-vendor courses into multi-LLM comparative reasoning workflows.","Tool calling, automated webhooks, JSON output extraction, context window management.","Basic copy-paste text prompt templates with no logic.","Business process automation and verification techniques.","MICRO / CERTIFICATION","STABLE","P1","Researched against 2026/27 industry standards, vendor documentation, and hiring benchmarks.","OpenAI Developer Platform Documentation (API, Assistants & Realtime API, 2026); Anthropic Claude Documentation (Model Context Protocol & Computer Use, 2026); Microsoft 365 Copilot & Azure AI Studio Documentation (2026); AWS Cloud Architecture Center & Generative AI on AWS (2026)"
"ai-agents-fundamentals","AI Agents Fundamentals","AI Academy","HIGH","HIGH","HIGH","HIGH","HIGH","AI-CRITICAL","ChatGPT, Claude, OpenAI API, n8n","Perplexity, Make.com, Gemini","Ollama, Model Context Protocol (MCP), Cursor","Single-model isolated usage without comparison","Logical structuring, problem decomposition, context curation.","Multimodal prompting, structured output enforcement.","Model UI changes, plugin ecosystems.","","Entry:  | Mid:  | Adv:  | Freelance: ","3 end-to-end automated workflows, custom GPT assistant with API actions, and a documented business efficiency audit.","Prompt structuring fundamentals, system roles, few-shot learning.","Transform single-vendor courses into multi-LLM comparative reasoning workflows.","Tool calling, automated webhooks, JSON output extraction, context window management.","Basic copy-paste text prompt templates with no logic.","Business process automation and verification techniques.","MICRO / CERTIFICATION","STABLE","P1","Researched against 2026/27 industry standards, vendor documentation, and hiring benchmarks.","OpenAI Developer Platform Documentation (API, Assistants & Realtime API, 2026); Anthropic Claude Documentation (Model Context Protocol & Computer Use, 2026); Microsoft 365 Copilot & Azure AI Studio Documentation (2026); AWS Cloud Architecture Center & Generative AI on AWS (2026)"
"chatgpt-mastery","ChatGPT Mastery","AI Academy","HIGH","HIGH","HIGH","HIGH","HIGH","AI-CRITICAL","ChatGPT, Claude, OpenAI API, n8n","Perplexity, Make.com, Gemini","Ollama, Model Context Protocol (MCP), Cursor","Single-model isolated usage without comparison","Logical structuring, problem decomposition, context curation.","Multimodal prompting, structured output enforcement.","Model UI changes, plugin ecosystems.","","Entry:  | Mid:  | Adv:  | Freelance: ","3 end-to-end automated workflows, custom GPT assistant with API actions, and a documented business efficiency audit.","Prompt structuring fundamentals, system roles, few-shot learning.","Transform single-vendor courses into multi-LLM comparative reasoning workflows.","Tool calling, automated webhooks, JSON output extraction, context window management.","Basic copy-paste text prompt templates with no logic.","Business process automation and verification techniques.","MICRO / CERTIFICATION","STABLE","P0","Researched against 2026/27 industry standards, vendor documentation, and hiring benchmarks.","OpenAI Developer Platform Documentation (API, Assistants & Realtime API, 2026); Anthropic Claude Documentation (Model Context Protocol & Computer Use, 2026); Microsoft 365 Copilot & Azure AI Studio Documentation (2026); AWS Cloud Architecture Center & Generative AI on AWS (2026)"
"gemini-mastery","Gemini Mastery","AI Academy","HIGH","HIGH","HIGH","HIGH","HIGH","AI-CRITICAL","ChatGPT, Claude, OpenAI API, n8n","Perplexity, Make.com, Gemini","Ollama, Model Context Protocol (MCP), Cursor","Single-model isolated usage without comparison","Logical structuring, problem decomposition, context curation.","Multimodal prompting, structured output enforcement.","Model UI changes, plugin ecosystems.","","Entry:  | Mid:  | Adv:  | Freelance: ","3 end-to-end automated workflows, custom GPT assistant with API actions, and a documented business efficiency audit.","Prompt structuring fundamentals, system roles, few-shot learning.","Transform single-vendor courses into multi-LLM comparative reasoning workflows.","Tool calling, automated webhooks, JSON output extraction, context window management.","Basic copy-paste text prompt templates with no logic.","Business process automation and verification techniques.","MICRO / CERTIFICATION","STABLE","P1","Researched against 2026/27 industry standards, vendor documentation, and hiring benchmarks.","OpenAI Developer Platform Documentation (API, Assistants & Realtime API, 2026); Anthropic Claude Documentation (Model Context Protocol & Computer Use, 2026); Microsoft 365 Copilot & Azure AI Studio Documentation (2026); AWS Cloud Architecture Center & Generative AI on AWS (2026)"
"claude-productivity","Claude for Productivity","AI Academy","HIGH","HIGH","HIGH","HIGH","HIGH","AI-CRITICAL","ChatGPT, Claude, OpenAI API, n8n","Perplexity, Make.com, Gemini","Ollama, Model Context Protocol (MCP), Cursor","Single-model isolated usage without comparison","Logical structuring, problem decomposition, context curation.","Multimodal prompting, structured output enforcement.","Model UI changes, plugin ecosystems.","","Entry:  | Mid:  | Adv:  | Freelance: ","3 end-to-end automated workflows, custom GPT assistant with API actions, and a documented business efficiency audit.","Prompt structuring fundamentals, system roles, few-shot learning.","Transform single-vendor courses into multi-LLM comparative reasoning workflows.","Tool calling, automated webhooks, JSON output extraction, context window management.","Basic copy-paste text prompt templates with no logic.","Business process automation and verification techniques.","MICRO / CERTIFICATION","STABLE","P1","Researched against 2026/27 industry standards, vendor documentation, and hiring benchmarks.","OpenAI Developer Platform Documentation (API, Assistants & Realtime API, 2026); Anthropic Claude Documentation (Model Context Protocol & Computer Use, 2026); Microsoft 365 Copilot & Azure AI Studio Documentation (2026); AWS Cloud Architecture Center & Generative AI on AWS (2026)"
"ai-research-tools","AI Research Tools","AI Academy","HIGH","HIGH","HIGH","HIGH","HIGH","AI-CRITICAL","ChatGPT, Claude, OpenAI API, n8n","Perplexity, Make.com, Gemini","Ollama, Model Context Protocol (MCP), Cursor","Single-model isolated usage without comparison","Logical structuring, problem decomposition, context curation.","Multimodal prompting, structured output enforcement.","Model UI changes, plugin ecosystems.","","Entry:  | Mid:  | Adv:  | Freelance: ","3 end-to-end automated workflows, custom GPT assistant with API actions, and a documented business efficiency audit.","Prompt structuring fundamentals, system roles, few-shot learning.","Transform single-vendor courses into multi-LLM comparative reasoning workflows.","Tool calling, automated webhooks, JSON output extraction, context window management.","Basic copy-paste text prompt templates with no logic.","Business process automation and verification techniques.","MICRO / CERTIFICATION","STABLE","P1","Researched against 2026/27 industry standards, vendor documentation, and hiring benchmarks.","OpenAI Developer Platform Documentation (API, Assistants & Realtime API, 2026); Anthropic Claude Documentation (Model Context Protocol & Computer Use, 2026); Microsoft 365 Copilot & Azure AI Studio Documentation (2026); AWS Cloud Architecture Center & Generative AI on AWS (2026)"
