course_number,course_id,course_name,slug,academy,academy_id,current_type,status,duration,duration_months,level,price_inr,original_price_inr,module_count,total_lessons,project_count,ai_integration,ai_impact_role,tool_depth,business_use_cases,career_clarity,portfolio_value,overlap_risk,modernization_priority,featured
17,"ai-for-business-pro","AI for Business Professional","ai-for-business-professional","AI Academy","ai","Professional Program","active","3 Months","3","Intermediate",14999,42999,3,24,8,"teaches AI","AI-transforming","ADEQUATE","WEAK","STRONG","ADEQUATE","MEDIUM","P0",false
18,"prompt-engineering","Prompt Engineering","prompt-engineering","AI Academy","ai","Certification Course","active","1 Month","1","Beginner",4999,14999,2,12,4,"teaches AI","AI-critical","ADEQUATE","WEAK","WEAK","ADEQUATE","MEDIUM","P0",false
19,"ai-automation-n8n","AI Automation with n8n","ai-automation-n8n","AI Academy","ai","Certification Course","active","2 Months","2","Intermediate",6999,19999,2,16,6,"teaches AI","AI-critical","ADEQUATE","WEAK","WEAK","ADEQUATE","MEDIUM","P1",false
20,"ai-agents-fundamentals","AI Agents Fundamentals","ai-agents-fundamentals","AI Academy","ai","Certification Course","active","2 Months","2","Intermediate",6999,19999,2,14,5,"teaches AI","AI-critical","ADEQUATE","WEAK","WEAK","ADEQUATE","MEDIUM","P1",false
21,"chatgpt-mastery","ChatGPT Mastery","chatgpt-mastery","AI Academy","ai","Certification Course","active","1 Month","1","Beginner",4999,14999,2,12,4,"teaches AI","AI-critical","ADEQUATE","WEAK","WEAK","ADEQUATE","MEDIUM","P0",false
22,"gemini-mastery","Gemini Mastery","gemini-mastery","AI Academy","ai","Certification Course","active","1 Month","1","Beginner",4999,14999,2,10,3,"teaches AI","AI-critical","ADEQUATE","WEAK","WEAK","WEAK","MEDIUM","P1",false
23,"claude-productivity","Claude for Productivity","claude-for-productivity","AI Academy","ai","Certification Course","active","1 Month","1","Beginner",4999,14999,2,12,4,"teaches AI","AI-critical","ADEQUATE","WEAK","WEAK","ADEQUATE","MEDIUM","P1",false
24,"ai-research-tools","AI Research Tools","ai-research-tools","AI Academy","ai","Certification Course","active","1 Month","1","Beginner",4999,14999,2,10,3,"teaches AI","AI-transforming","ADEQUATE","WEAK","WEAK","WEAK","MEDIUM","P3",false
25,"creative-design","Creative Design Master","creative-design-master","Design Academy","design","Career Program","active","6 Months","6","Beginner",24999,69999,5,76,18,"integrates AI into the workflow","AI-transforming","STRONG","ADEQUATE","STRONG","STRONG","MEDIUM","P0",true
26,"graphic-design-pro","Graphic Design Professional","graphic-design-professional","Design Academy","design","Professional Program","active","3 Months","3","Beginner",13999,39999,3,28,10,"integrates AI into the workflow","AI-assisted","STRONG","WEAK","STRONG","STRONG","HIGH","P0",false
27,"uiux-design-pro","UI/UX Design Professional","ui-ux-design-professional","Design Academy","design","Professional Program","active","3 Months","3","Intermediate",14999,39999,4,48,8,"has no meaningful AI integration","Low impact","STRONG","WEAK","STRONG","ADEQUATE","MEDIUM","P0",false
28,"adobe-photoshop","Adobe Photoshop","adobe-photoshop","Design Academy","design","Certification Course","active","1 Month","1","Beginner",4999,14999,2,12,4,"mentions AI only in marketing copy","AI-assisted","WEAK","WEAK","WEAK","ADEQUATE","MEDIUM","P2",false
29,"adobe-illustrator","Adobe Illustrator","adobe-illustrator","Design Academy","design","Certification Course","active","1 Month","1","Beginner",4999,14999,2,12,4,"has no meaningful AI integration","Low impact","WEAK","WEAK","WEAK","ADEQUATE","MEDIUM","P2",false
30,"canva-pro","Canva Professional","canva-professional","Design Academy","design","Certification Course","active","1 Month","1","Beginner",4999,14999,2,10,4,"has no meaningful AI integration","Potentially commoditized","WEAK","WEAK","WEAK","ADEQUATE","MEDIUM","P0",false
31,"figma-ui-design","Figma UI Design","figma-ui-design","Design Academy","design","Certification Course","active","2 Months","2","Intermediate",6999,19999,2,16,5,"integrates AI into the workflow","AI-assisted","ADEQUATE","WEAK","WEAK","ADEQUATE","MEDIUM","P1",false
32,"brand-identity-design","Brand Identity Design","brand-identity-design","Design Academy","design","Certification Course","active","1 Month","1","Intermediate",4999,14999,2,10,3,"mentions AI only in marketing copy","AI-assisted","ADEQUATE","WEAK","WEAK","WEAK","MEDIUM","P2",false
33,"packaging-design","Packaging Design","packaging-design","Design Academy","design","Certification Course","active","1 Month","1","Intermediate",4999,14999,2,10,3,"mentions AI only in marketing copy","AI-assisted","ADEQUATE","WEAK","WEAK","WEAK","MEDIUM","P3",false
34,"logo-design","Logo Design","logo-design","Design Academy","design","Certification Course","active","1 Month","1","Beginner",4999,14999,2,10,4,"integrates AI into the workflow","AI-assisted","WEAK","WEAK","WEAK","ADEQUATE","MEDIUM","P3",false
35,"fullstack-foundation","Full Stack Programming Foundation","full-stack-programming-foundation","Programming Academy","programming","Career Program","active","6 Months","6","Beginner",29999,84999,5,88,15,"integrates AI into the workflow","AI-transforming","STRONG","ADEQUATE","STRONG","STRONG","HIGH","P0",true
36,"python-developer","Python Developer Professional","python-developer-professional","Programming Academy","programming","Professional Program","active","3 Months","3","Beginner",14999,39999,3,28,8,"has no meaningful AI integration","Low impact","STRONG","WEAK","STRONG","ADEQUATE","MEDIUM","P0",false
37,"ai-web-dev-pro","AI Web Development Professional","ai-web-development-professional","Programming Academy","programming","Professional Program","active","3 Months","3","Intermediate",15999,44999,3,28,8,"teaches AI","AI-critical","STRONG","WEAK","STRONG","ADEQUATE","MEDIUM","P0",false
38,"html-css","HTML & CSS","html-css","Programming Academy","programming","Certification Course","active","1 Month","1","Beginner",4999,14999,2,11,4,"has no meaningful AI integration","Potentially commoditized","ADEQUATE","WEAK","WEAK","ADEQUATE","MEDIUM","P3",false
39,"javascript-cert","JavaScript","javascript","Programming Academy","programming","Certification Course","active","1 Month","1","Beginner",4999,14999,2,12,4,"mentions AI only in marketing copy","AI-assisted","WEAK","WEAK","WEAK","ADEQUATE","MEDIUM","P2",false
40,"react-cert","React","react-javascript","Programming Academy","programming","Certification Course","active","1 Month","1","Intermediate",4999,14999,2,12,4,"has no meaningful AI integration","Low impact","ADEQUATE","WEAK","WEAK","ADEQUATE","MEDIUM","P1",false
41,"node-js","Node.js","node-js","Programming Academy","programming","Certification Course","active","1 Month","1","Intermediate",4999,14999,2,12,4,"has no meaningful AI integration","Low impact","ADEQUATE","WEAK","WEAK","ADEQUATE","MEDIUM","P1",false
42,"sql-basics","SQL Basics","sql-basics","Programming Academy","programming","Certification Course","active","1 Month","1","Beginner",4999,14999,2,10,3,"has no meaningful AI integration","Low impact","ADEQUATE","WEAK","WEAK","WEAK","MEDIUM","P2",false
43,"git-github","Git & GitHub","git-github","Programming Academy","programming","Certification Course","active","1 Month","1","Beginner",4999,14999,2,10,3,"has no meaningful AI integration","Low impact","ADEQUATE","WEAK","WEAK","WEAK","MEDIUM","P3",false
44,"rest-apis","REST APIs","rest-apis","Programming Academy","programming","Certification Course","active","1 Month","1","Intermediate",4999,14999,2,10,3,"has no meaningful AI integration","Low impact","ADEQUATE","WEAK","WEAK","WEAK","MEDIUM","P2",false
45,"ecommerce-mastery","E-Commerce Website Mastery","ecommerce-website-mastery","No-Code Web Academy","nocode","Career Program","active","6 Months","6","Beginner",22999,64999,5,74,12,"has no meaningful AI integration","Low impact","STRONG","ADEQUATE","STRONG","STRONG","HIGH","P0",true
46,"nocode-web-pro","No-Code Website Professional","nocode-website-professional","No-Code Web Academy","nocode","Professional Program","active","3 Months","3","Beginner",12999,34999,3,24,8,"has no meaningful AI integration","Low impact","ADEQUATE","WEAK","STRONG","ADEQUATE","MEDIUM","P1",false
47,"wordpress-cert","WordPress","wordpress","No-Code Web Academy","nocode","Certification Course","active","1 Month","1","Beginner",4999,14999,2,12,4,"has no meaningful AI integration","Low impact","ADEQUATE","WEAK","WEAK","ADEQUATE","HIGH","P0",false
48,"woocommerce-cert","WooCommerce","woocommerce","No-Code Web Academy","nocode","Certification Course","active","1 Month","1","Beginner",4999,14999,2,10,3,"has no meaningful AI integration","Low impact","ADEQUATE","WEAK","WEAK","WEAK","MEDIUM","P2",false
49,"shopify-cert","Shopify","shopify","No-Code Web Academy","nocode","Certification Course","active","1 Month","1","Beginner",4999,14999,2,12,4,"has no meaningful AI integration","Low impact","ADEQUATE","WEAK","WEAK","ADEQUATE","MEDIUM","P1",false
50,"elementor-cert","Elementor","elementor","No-Code Web Academy","nocode","Certification Course","active","1 Month","1","Beginner",4999,14999,2,12,4,"has no meaningful AI integration","Low impact","WEAK","WEAK","WEAK","ADEQUATE","MEDIUM","P2",false
51,"webflow-cert","Webflow","webflow","No-Code Web Academy","nocode","Certification Course","active","1 Month","1","Intermediate",4999,14999,2,12,4,"has no meaningful AI integration","Low impact","WEAK","WEAK","WEAK","ADEQUATE","MEDIUM","P1",false
52,"framer-cert","Framer","framer","No-Code Web Academy","nocode","Certification Course","active","1 Month","1","Intermediate",4999,14999,2,10,4,"has no meaningful AI integration","Low impact","WEAK","WEAK","WEAK","ADEQUATE","MEDIUM","P1",false
53,"motion-mastery","Motion Graphics Master","motion-graphics-master","Video & Motion Academy","video","Career Program","active","6 Months","6","Beginner",26999,74999,5,70,16,"integrates AI into the workflow","AI-transforming","STRONG","ADEQUATE","STRONG","STRONG","MEDIUM","P0",true
54,"video-pro","Professional Video Editing","professional-video-editing","Video & Motion Academy","video","Professional Program","active","3 Months","3","Beginner",13999,39999,3,26,10,"mentions AI only in marketing copy","AI-assisted","STRONG","WEAK","STRONG","STRONG","MEDIUM","P0",false
55,"ai-video-pro","AI Video Editing Professional","ai-video-editing-professional","Video & Motion Academy","video","Professional Program","active","3 Months","3","Intermediate",14999,42999,3,24,8,"teaches AI","AI-transforming","ADEQUATE","WEAK","STRONG","ADEQUATE","MEDIUM","P0",false
56,"adobe-premiere-pro","Adobe Premiere Pro","adobe-premiere-pro","Video & Motion Academy","video","Certification Course","active","1 Month","1","Beginner",4999,14999,2,12,4,"has no meaningful AI integration","Low impact","WEAK","WEAK","WEAK","ADEQUATE","MEDIUM","P2",false
57,"after-effects","After Effects","after-effects","Video & Motion Academy","video","Certification Course","active","1 Month","1","Intermediate",4999,14999,2,12,4,"has no meaningful AI integration","Low impact","WEAK","WEAK","WEAK","ADEQUATE","MEDIUM","P1",false
58,"davinci-resolve","DaVinci Resolve","davinci-resolve","Video & Motion Academy","video","Certification Course","active","1 Month","1","Intermediate",4999,14999,2,12,4,"mentions AI only in marketing copy","AI-assisted","WEAK","WEAK","WEAK","ADEQUATE","MEDIUM","P1",false
59,"reels-editing","Reels Editing","reels-editing","Video & Motion Academy","video","Certification Course","active","1 Month","1","Beginner",4999,14999,2,10,4,"has no meaningful AI integration","Low impact","ADEQUATE","WEAK","WEAK","ADEQUATE","MEDIUM","P1",false
60,"motion-graphics-essentials","Motion Graphics Essentials","motion-graphics-essentials","Video & Motion Academy","video","Certification Course","active","1 Month","1","Beginner",4999,14999,2,10,3,"has no meaningful AI integration","Low impact","WEAK","WEAK","WEAK","WEAK","HIGH","P2",false
61,"archviz-mastery","Architectural Visualisation Master","architectural-visualisation-master","3D Academy","3d","Career Program","active","6 Months","6","Beginner",28999,79999,5,70,12,"has no meaningful AI integration","Low impact","STRONG","ADEQUATE","STRONG","STRONG","MEDIUM","P0",true
62,"3d-viz-pro","3D Visualisation Professional","3d-visualisation-professional","3D Academy","3d","Professional Program","active","3 Months","3","Beginner",14999,39999,3,24,8,"integrates AI into the workflow","AI-assisted","ADEQUATE","WEAK","STRONG","ADEQUATE","MEDIUM","P1",false
63,"blender-cert","Blender","blender","3D Academy","3d","Certification Course","active","1 Month","1","Beginner",4999,14999,2,12,4,"has no meaningful AI integration","Low impact","WEAK","WEAK","WEAK","ADEQUATE","MEDIUM","P1",false
64,"3ds-max-cert","3ds Max","3ds-max","3D Academy","3d","Certification Course","active","1 Month","1","Beginner",4999,14999,2,12,4,"has no meaningful AI integration","Low impact","WEAK","WEAK","WEAK","ADEQUATE","MEDIUM","P2",false
65,"v-ray-cert","V-Ray","v-ray","3D Academy","3d","Certification Course","active","1 Month","1","Intermediate",4999,14999,2,10,3,"has no meaningful AI integration","Low impact","WEAK","WEAK","WEAK","WEAK","MEDIUM","P2",false
66,"twinmotion-cert","Twinmotion","twinmotion","3D Academy","3d","Certification Course","active","1 Month","1","Beginner",4999,14999,2,10,3,"has no meaningful AI integration","Low impact","ADEQUATE","WEAK","WEAK","WEAK","MEDIUM","P2",false
67,"cinema-4d-cert","Cinema 4D","cinema-4d","3D Academy","3d","Certification Course","active","1 Month","1","Intermediate",4999,14999,2,10,3,"has no meaningful AI integration","Low impact","WEAK","WEAK","WEAK","WEAK","MEDIUM","P3",false
68,"unreal-engine-basics","Unreal Engine Basics","unreal-engine-basics","3D Academy","3d","Certification Course","active","1 Month","1","Beginner",4999,14999,2,12,4,"has no meaningful AI integration","Low impact","WEAK","WEAK","WEAK","ADEQUATE","MEDIUM","P2",false
69,"freelancing-mastery","Freelancing Mastery","freelancing-mastery","Career & Freelancing Academy","career","Career Program","active","6 Months","6","Beginner",18999,49999,5,54,10,"integrates AI into the workflow","AI-assisted","STRONG","ADEQUATE","STRONG","STRONG","HIGH","P0",true
70,"career-launch","Career Launch Program","career-launch-program","Career & Freelancing Academy","career","Professional Program","active","3 Months","3","Beginner",9099,24999,4,24,6,"integrates AI into the workflow","AI-assisted","ADEQUATE","WEAK","STRONG","ADEQUATE","MEDIUM","P1",false
71,"resume-building","Resume Building","resume-building","Career & Freelancing Academy","career","Certification Course","active","1 Month","1","Beginner",3999,11999,2,8,3,"integrates AI into the workflow","AI-assisted","ADEQUATE","WEAK","WEAK","WEAK","MEDIUM","P3",false
72,"linkedin-optimisation","LinkedIn Optimisation","linkedin-optimisation","Career & Freelancing Academy","career","Certification Course","active","1 Month","1","Beginner",3999,11999,2,10,3,"integrates AI into the workflow","AI-assisted","ADEQUATE","WEAK","WEAK","WEAK","MEDIUM","P2",false
73,"interview-preparation","Interview Preparation","interview-preparation","Career & Freelancing Academy","career","Certification Course","active","1 Month","1","Beginner",3999,11999,2,10,3,"integrates AI into the workflow","AI-assisted","WEAK","WEAK","WEAK","WEAK","MEDIUM","P3",false
74,"client-communication","Client Communication","client-communication","Career & Freelancing Academy","career","Certification Course","active","1 Month","1","Beginner",3999,11999,2,10,3,"mentions AI only in marketing copy","AI-assisted","ADEQUATE","WEAK","WEAK","WEAK","MEDIUM","P3",false
75,"proposal-writing","Proposal Writing","proposal-writing","Career & Freelancing Academy","career","Certification Course","active","1 Month","1","Beginner",3999,11999,2,10,3,"has no meaningful AI integration","Low impact","ADEQUATE","WEAK","WEAK","WEAK","MEDIUM","P2",false
76,"agency-building","Agency Building","agency-building","Career & Freelancing Academy","career","Certification Course","active","2 Months","2","Intermediate",6999,19999,2,12,4,"mentions AI only in marketing copy","AI-assisted","ADEQUATE","WEAK","WEAK","ADEQUATE","MEDIUM","P1",false
77,"fiverr-success","Fiverr Success","fiverr-success","Career & Freelancing Academy","career","Certification Course","active","1 Month","1","Beginner",3999,11999,2,10,4,"integrates AI into the workflow","AI-assisted","ADEQUATE","WEAK","WEAK","ADEQUATE","MEDIUM","P1",false
78,"upwork-success","Upwork Success","upwork-success","Career & Freelancing Academy","career","Certification Course","active","1 Month","1","Beginner",3999,11999,2,10,4,"integrates AI into the workflow","AI-assisted","WEAK","WEAK","WEAK","ADEQUATE","MEDIUM","P1",false
79,"business-english","Business English & Personality Development","business-english-personality-development","Communication Academy","communication","Career Program","active","6 Months","6","Beginner",14999,39999,5,72,12,"integrates AI into the workflow","AI-assisted","ADEQUATE","ADEQUATE","STRONG","STRONG","HIGH","P0",true
80,"spoken-english-pro","Professional Spoken English","professional-spoken-english","Communication Academy","communication","Professional Program","active","3 Months","3","Beginner",8999,22999,3,28,8,"integrates AI into the workflow","AI-assisted","ADEQUATE","WEAK","STRONG","ADEQUATE","MEDIUM","P1",false
81,"spoken-english-cert","Spoken English","spoken-english","Communication Academy","communication","Certification Course","active","1 Month","1","Beginner",3999,11999,2,10,4,"has no meaningful AI integration","Potentially commoditized","WEAK","WEAK","WEAK","ADEQUATE","MEDIUM","P3",false
82,"business-communication","Business Communication","business-communication","Communication Academy","communication","Certification Course","active","1 Month","1","Beginner",3999,11999,2,10,3,"integrates AI into the workflow","AI-assisted","ADEQUATE","WEAK","WEAK","WEAK","MEDIUM","P2",false
83,"presentation-skills","Presentation Skills","presentation-skills","Communication Academy","communication","Certification Course","active","1 Month","1","Beginner",3999,11999,2,10,3,"has no meaningful AI integration","Low impact","ADEQUATE","WEAK","WEAK","WEAK","MEDIUM","P3",false
84,"public-speaking","Public Speaking","public-speaking","Communication Academy","communication","Certification Course","active","1 Month","1","Beginner",3999,11999,2,10,4,"has no meaningful AI integration","Low impact","WEAK","WEAK","WEAK","ADEQUATE","MEDIUM","P2",false
85,"soft-skills","Soft Skills","soft-skills","Communication Academy","communication","Certification Course","active","1 Month","1","Beginner",3999,11999,2,10,3,"has no meaningful AI integration","Low impact","WEAK","WEAK","WEAK","WEAK","MEDIUM","P3",false
86,"kids-mastery","Future Tech Kids Mastery","future-tech-kids-mastery","Kids Tech Academy","kids","Career Program","active","6 Months","6","Beginner",19999,49999,4,60,15,"mentions AI only in marketing copy","AI-assisted","ADEQUATE","ADEQUATE","WEAK","STRONG","HIGH","P0",true
87,"young-coders","Young Coders Program","young-coders-program","Kids Tech Academy","kids","Professional Program","active","3 Months","3","Beginner",11999,29999,3,24,8,"has no meaningful AI integration","Low impact","ADEQUATE","WEAK","ADEQUATE","ADEQUATE","MEDIUM","P1",false
88,"scratch-programming","Scratch Programming","scratch-programming","Kids Tech Academy","kids","Certification Course","active","1 Month","1","Beginner",3999,11999,2,10,4,"has no meaningful AI integration","Low impact","WEAK","WEAK","WEAK","ADEQUATE","MEDIUM","P2",false
89,"python-for-kids","Python for Kids","python-for-kids","Kids Tech Academy","kids","Certification Course","active","1 Month","1","Beginner",3999,11999,2,10,4,"has no meaningful AI integration","Low impact","WEAK","WEAK","WEAK","ADEQUATE","MEDIUM","P2",false
90,"ai-for-kids","AI for Kids","ai-for-kids","Kids Tech Academy","kids","Certification Course","active","1 Month","1","Beginner",3999,11999,2,10,4,"teaches AI","AI-transforming","WEAK","WEAK","WEAK","ADEQUATE","MEDIUM","P2",false
91,"robotics-basics","Robotics Basics","robotics-basics","Kids Tech Academy","kids","Certification Course","active","1 Month","1","Beginner",3999,11999,2,10,3,"has no meaningful AI integration","Low impact","WEAK","WEAK","WEAK","WEAK","MEDIUM","P3",false
92,"web-design-for-kids","Web Design for Kids","web-design-for-kids","Kids Tech Academy","kids","Certification Course","active","1 Month","1","Beginner",3999,11999,2,10,3,"has no meaningful AI integration","Low impact","ADEQUATE","WEAK","WEAK","WEAK","MEDIUM","P3",false
93,"youtube-mastery","YouTube Growth Mastery","youtube-growth-mastery","Creator Academy","creator","Career Program","active","6 Months","6","Beginner",19999,54999,5,68,12,"mentions AI only in marketing copy","AI-assisted","STRONG","ADEQUATE","STRONG","STRONG","HIGH","P0",true
94,"content-creator-pro","Content Creator Professional","content-creator-professional","Creator Academy","creator","Professional Program","active","3 Months","3","Beginner",11999,29999,3,24,8,"has no meaningful AI integration","Low impact","ADEQUATE","WEAK","STRONG","ADEQUATE","MEDIUM","P1",false
95,"youtube-seo","YouTube SEO","youtube-seo","Creator Academy","creator","Certification Course","active","1 Month","1","Beginner",3999,11999,2,10,4,"has no meaningful AI integration","Low impact","ADEQUATE","WEAK","WEAK","ADEQUATE","HIGH","P1",false
96,"thumbnail-design","Thumbnail Design","thumbnail-design","Creator Academy","creator","Certification Course","active","1 Month","1","Beginner",3999,11999,2,10,4,"integrates AI into the workflow","AI-assisted","ADEQUATE","WEAK","WEAK","ADEQUATE","MEDIUM","P3",false
97,"podcast-production","Podcast Production","podcast-production","Creator Academy","creator","Certification Course","active","1 Month","1","Beginner",3999,11999,2,10,3,"has no meaningful AI integration","Low impact","ADEQUATE","WEAK","WEAK","WEAK","MEDIUM","P2",false
98,"personal-branding","Personal Branding","personal-branding","Creator Academy","creator","Certification Course","active","1 Month","1","Beginner",3999,11999,2,10,3,"has no meaningful AI integration","Low impact","ADEQUATE","WEAK","WEAK","WEAK","HIGH","P2",false
99,"short-video-strategy","Short Video Strategy","short-video-strategy","Creator Academy","creator","Certification Course","active","1 Month","1","Beginner",3999,11999,2,10,4,"has no meaningful AI integration","Low impact","WEAK","WEAK","WEAK","ADEQUATE","HIGH","P1",false
100,"biz-productivity","Business Productivity Mastery","business-productivity-mastery","Office Productivity Academy","office","Career Program","active","6 Months","6","Beginner",16999,44999,5,70,15,"mentions AI only in marketing copy","AI-assisted","STRONG","ADEQUATE","STRONG","STRONG","HIGH","P0",true
101,"office-pro","Office Productivity Professional","office-productivity-professional","Office Productivity Academy","office","Professional Program","active","3 Months","3","Beginner",9999,24999,3,24,8,"mentions AI only in marketing copy","AI-assisted","ADEQUATE","WEAK","STRONG","ADEQUATE","MEDIUM","P1",false
102,"microsoft-excel","Microsoft Excel","microsoft-excel","Office Productivity Academy","office","Certification Course","active","1 Month","1","Beginner",3999,11999,2,12,5,"has no meaningful AI integration","Low impact","WEAK","WEAK","WEAK","ADEQUATE","MEDIUM","P0",false
103,"microsoft-word","Microsoft Word","microsoft-word","Office Productivity Academy","office","Certification Course","active","1 Month","1","Beginner",3999,11999,2,10,3,"has no meaningful AI integration","Potentially commoditized","WEAK","WEAK","WEAK","WEAK","MEDIUM","P3",false
104,"microsoft-powerpoint","Microsoft PowerPoint","microsoft-powerpoint","Office Productivity Academy","office","Certification Course","active","1 Month","1","Beginner",3999,11999,2,10,4,"has no meaningful AI integration","Potentially commoditized","WEAK","WEAK","WEAK","ADEQUATE","MEDIUM","P3",false
105,"google-workspace","Google Workspace","google-workspace","Office Productivity Academy","office","Certification Course","active","1 Month","1","Beginner",3999,11999,2,10,4,"mentions AI only in marketing copy","AI-assisted","ADEQUATE","WEAK","WEAK","ADEQUATE","MEDIUM","P2",false
106,"notion-cert","Notion","notion","Office Productivity Academy","office","Certification Course","active","1 Month","1","Beginner",3999,11999,2,10,4,"integrates AI into the workflow","AI-assisted","WEAK","WEAK","WEAK","ADEQUATE","MEDIUM","P1",false
107,"clickup-cert","ClickUp","clickup","Office Productivity Academy","office","Certification Course","active","1 Month","1","Beginner",3999,11999,2,10,3,"has no meaningful AI integration","Low impact","WEAK","WEAK","WEAK","WEAK","MEDIUM","P3",false
108,"microsoft-copilot","Microsoft Copilot","microsoft-copilot","Office Productivity Academy","office","Certification Course","active","1 Month","1","Beginner",3999,11999,2,10,4,"teaches AI","AI-transforming","WEAK","WEAK","WEAK","ADEQUATE","MEDIUM","P1",false
109,"tally-gst","Tally with GST","tally-with-gst","Office Productivity Academy","office","Certification Course","active","2 Months","2","Beginner",5999,16999,2,14,5,"has no meaningful AI integration","Potentially commoditized","WEAK","WEAK","WEAK","ADEQUATE","MEDIUM","P2",false
